name,price,have_stock
AK-47 | X-Ray (Battle-Scarred),326.31,0
AK-47 | X-Ray (Factory New),1757.57,0
AK-47 | X-Ray (Field-Tested),857.63,0
AK-47 | X-Ray (Minimal Wear),1184.59,0
AK-47 | X-Ray (Well-Worn),522.07,0
AUG | Akihabara Accept (Minimal Wear),2026.41,0
AUG | Amber Fade (Factory New),0.47,74
AUG | Amber Fade (Field-Tested),0.16,56
AUG | Amber Fade (Minimal Wear),0.29,33
AUG | Amber Fade (Well-Worn),0.15,2
AUG | Amber Slipstream (Battle-Scarred),0.1,1
AUG | Amber Slipstream (Factory New),0.33,0
AUG | Amber Slipstream (Field-Tested),0.14,3
AUG | Amber Slipstream (Minimal Wear),0.24,2
AUG | Amber Slipstream (Well-Worn),0.11,0
AUG | Anodized Navy (Factory New),14.87,0
AUG | Arctic Wolf (Battle-Scarred),0.73,6
AUG | Arctic Wolf (Factory New),4.78,0
AUG | Arctic Wolf (Field-Tested),1.33,18
AUG | Arctic Wolf (Minimal Wear),2.87,15
AUG | Arctic Wolf (Well-Worn),1.69,1
AUG | Aristocrat (Battle-Scarred),0.34,0
AUG | Aristocrat (Factory New),1.46,0
AUG | Aristocrat (Field-Tested),0.35,13
AUG | Aristocrat (Minimal Wear),0.69,0
AUG | Aristocrat (Well-Worn),0.69,4
AUG | Bengal Tiger (Battle-Scarred),4.12,0
AUG | Bengal Tiger (Field-Tested),3.89,2
AUG | Bengal Tiger (Minimal Wear),6.96,0
AUG | Bengal Tiger (Well-Worn),3.71,4
AUG | Carved Jade (Factory New),6.32,0
AUG | Carved Jade (Field-Tested),8.19,1
AUG | Carved Jade (Minimal Wear),6.51,0
AUG | Chameleon (Battle-Scarred),4.34,6
AUG | Chameleon (Factory New),4.81,0
AUG | Chameleon (Field-Tested),3.89,9
AUG | Chameleon (Minimal Wear),4.3,3
AUG | Chameleon (Well-Worn),4.23,6
AUG | Colony (Battle-Scarred),1.0,1
AUG | Colony (Field-Tested),0.63,0
AUG | Colony (Minimal Wear),1.22,0
AUG | Condemned (Battle-Scarred),0.08,0
AUG | Condemned (Factory New),0.74,1
AUG | Condemned (Field-Tested),0.09,2
AUG | Condemned (Minimal Wear),0.11,1
AUG | Condemned (Well-Worn),0.1,11
AUG | Contractor (Battle-Scarred),0.02,0
AUG | Contractor (Factory New),0.13,1
AUG | Contractor (Field-Tested),0.02,0
AUG | Contractor (Minimal Wear),0.02,0
AUG | Contractor (Well-Worn),0.02,0
AUG | Copperhead (Field-Tested),76.99,0
AUG | Copperhead (Minimal Wear),67.56,0
AUG | Daedalus (Battle-Scarred),2.34,0
AUG | Daedalus (Factory New),2.75,0
AUG | Daedalus (Field-Tested),2.32,0
AUG | Daedalus (Minimal Wear),2.36,0
AUG | Daedalus (Well-Worn),2.52,0
AUG | Death by Puppy (Factory New),9.27,10
AUG | Death by Puppy (Field-Tested),5.34,0
AUG | Death by Puppy (Minimal Wear),6.31,0
AUG | Death by Puppy (Well-Worn),4.54,0
AUG | Flame Jörmungandr (Factory New),201.03,0
AUG | Fleet Flock (Battle-Scarred),1.65,1
AUG | Fleet Flock (Factory New),10.43,0
AUG | Fleet Flock (Field-Tested),2.32,16
AUG | Fleet Flock (Minimal Wear),3.98,1
AUG | Fleet Flock (Well-Worn),1.68,0
AUG | Hot Rod (Factory New),288.57,0
AUG | Midnight Lily (Factory New),183.35,0
AUG | Midnight Lily (Minimal Wear),144.4,0
AUG | Momentum (Battle-Scarred),1.6,5
AUG | Momentum (Factory New),18.82,0
AUG | Momentum (Field-Tested),2.02,14
AUG | Momentum (Minimal Wear),5.62,1
AUG | Momentum (Well-Worn),1.57,0
AUG | Navy Murano (Battle-Scarred),0.56,1
AUG | Navy Murano (Factory New),1.78,1
AUG | Navy Murano (Field-Tested),0.61,2
AUG | Navy Murano (Minimal Wear),0.74,2
AUG | Navy Murano (Well-Worn),0.56,1
AUG | Plague (Battle-Scarred),0.06,0
AUG | Plague (Factory New),0.46,15
AUG | Plague (Field-Tested),0.1,50
AUG | Plague (Minimal Wear),0.21,3
AUG | Plague (Well-Worn),0.09,0
AUG | Radiation Hazard (Battle-Scarred),0.54,0
AUG | Radiation Hazard (Factory New),1.21,0
AUG | Radiation Hazard (Field-Tested),0.82,1
AUG | Radiation Hazard (Minimal Wear),1.01,3
AUG | Radiation Hazard (Well-Worn),0.67,0
AUG | Random Access (Battle-Scarred),1.35,0
AUG | Random Access (Factory New),5.28,2
AUG | Random Access (Field-Tested),1.98,3
AUG | Random Access (Minimal Wear),3.02,0
AUG | Random Access (Well-Worn),1.7,0
AUG | Ricochet (Battle-Scarred),0.06,0
AUG | Ricochet (Factory New),0.64,2
AUG | Ricochet (Field-Tested),0.09,10
AUG | Ricochet (Minimal Wear),0.22,0
AUG | Ricochet (Well-Worn),0.23,0
AUG | Sand Storm (Battle-Scarred),27.58,0
AUG | Sand Storm (Factory New),28.91,0
AUG | Sand Storm (Field-Tested),25.63,0
AUG | Sand Storm (Minimal Wear),27.49,0
AUG | Sand Storm (Well-Worn),24.67,0
AUG | Spalted Wood (Battle-Scarred),0.32,0
AUG | Spalted Wood (Factory New),0.44,4
AUG | Spalted Wood (Field-Tested),0.33,9
AUG | Spalted Wood (Minimal Wear),0.38,31
AUG | Spalted Wood (Well-Worn),0.33,1
AUG | Storm (Battle-Scarred),0.02,0
AUG | Storm (Factory New),0.12,0
AUG | Storm (Field-Tested),0.02,0
AUG | Storm (Minimal Wear),0.02,0
AUG | Storm (Well-Worn),0.02,0
AUG | Stymphalian (Battle-Scarred),1.58,0
AUG | Stymphalian (Factory New),5.4,0
AUG | Stymphalian (Field-Tested),1.64,3
AUG | Stymphalian (Minimal Wear),2.75,3
AUG | Stymphalian (Well-Worn),1.67,0
AUG | Surveillance (Battle-Scarred),0.04,0
AUG | Surveillance (Factory New),0.1,1
AUG | Surveillance (Field-Tested),0.03,0
AUG | Surveillance (Minimal Wear),0.06,0
AUG | Surveillance (Well-Worn),0.05,0
AUG | Sweeper (Battle-Scarred),0.02,0
AUG | Sweeper (Factory New),0.06,0
AUG | Sweeper (Field-Tested),0.02,0
AUG | Sweeper (Minimal Wear),0.02,0
AUG | Sweeper (Well-Worn),0.02,0
AUG | Syd Mead (Battle-Scarred),1.82,5
AUG | Syd Mead (Factory New),6.45,0
AUG | Syd Mead (Field-Tested),1.09,0
AUG | Syd Mead (Minimal Wear),3.39,4
AUG | Syd Mead (Well-Worn),2.21,0
AUG | Tom Cat (Battle-Scarred),0.06,0
AUG | Tom Cat (Factory New),0.25,5
AUG | Tom Cat (Field-Tested),0.06,0
AUG | Tom Cat (Minimal Wear),0.08,17
AUG | Tom Cat (Well-Worn),0.06,0
AUG | Torque (Factory New),5.88,0
AUG | Torque (Field-Tested),4.99,3
AUG | Torque (Minimal Wear),6.03,3
AUG | Torque (Well-Worn),3.96,0
AUG | Triqua (Battle-Scarred),0.05,0
AUG | Triqua (Factory New),0.32,2
AUG | Triqua (Field-Tested),0.06,0
AUG | Triqua (Minimal Wear),0.09,26
AUG | Triqua (Well-Worn),0.05,0
AUG | Wings (Factory New),16.14,2
AUG | Wings (Minimal Wear),14.18,0
AWP | Acheron (Battle-Scarred),0.82,1
AWP | Acheron (Factory New),3.39,10
AWP | Acheron (Field-Tested),0.88,39
AWP | Acheron (Minimal Wear),1.5,24
AWP | Acheron (Well-Worn),1.34,1
AWP | Asiimov (Battle-Scarred),73.45,0
AWP | Asiimov (Field-Tested),136.11,2
AWP | Asiimov (Well-Worn),97.02,11
AWP | Atheris (Battle-Scarred),1.92,146
AWP | Atheris (Factory New),13.5,17
AWP | Atheris (Field-Tested),2.8,86
AWP | Atheris (Minimal Wear),5.74,29
AWP | Atheris (Well-Worn),2.23,66
AWP | BOOM (Factory New),286.95,0
AWP | BOOM (Field-Tested),78.72,13
AWP | BOOM (Minimal Wear),93.3,4
AWP | Capillary (Battle-Scarred),0.14,28
AWP | Capillary (Factory New),2.71,0
AWP | Capillary (Field-Tested),0.13,126
AWP | Capillary (Minimal Wear),0.38,18
AWP | Capillary (Well-Worn),0.3,3
AWP | Containment Breach (Battle-Scarred),37.28,7
AWP | Containment Breach (Factory New),255.62,0
